source_id,ra,dec,phot_g_mean_mag,plx,e_plx,astrometric_params_solved,astrometric_gof_al,phot_bp_rp_excess_factor,mean_mag_g_fov,median_mag_g_fov,std_dev_mag_g_fov,in_vari_long_period_variable,in_vari_eclipsing_binary,in_vari_classification_result,in_vari_rrlyrae,in_vari_cepheid,in_vari_planetary_transit,in_vari_short_timescale,in_vari_long_period_variable2,in_vari_eclipsing_binary2,in_vari_rotation_modulation,in_vari_ms_oscillator,in_vari_agn,in_vari_microlensing,in_vari_compact_companion,DDF,STABLE
3835340271306935936,151.46540728459837,1.9737803861125511,14.779982,1.2443052571329658,0.03111515,31,0.05903975,1.2083025,,,,,,,,,,,,,,,,,,COSMOS,True
3835366556507112576,151.5998839923684,2.1036394567377004,16.295992,3.1585827828839688,0.055593014,31,0.07931746,1.3382854,,,,,,,,,,,,,,,,,,COSMOS,True
3835961259153872256,150.37057856633115,1.4712995805273883,16.05089,4.267244307907536,0.052195106,31,0.14601353,1.3305912,,,,,,,,,,,,,,,,,,COSMOS,True
3835961529736712320,150.43816201837217,1.4976979532252723,12.920656,1.0130096896193284,0.023087947,31,3.7636313,1.1891838,,,,,,,,,,,,,,,,,,COSMOS,True
3835962770982359808,150.35617354375785,1.5313935041340665,14.9003105,1.5296044862387623,0.030957192,31,1.0680567,1.2173548,,,,,,,,,,,,,,,,,,COSMOS,True
3835963419522319360,150.21364336124222,1.4694943424477118,18.307037,1.0619049490055747,0.20307285,31,1.574164,1.3125473,,,,,,,,,,,,,,,,,,COSMOS,True
3835972146895567360,150.36645099196747,1.6152463765412122,17.950012,2.3771747358835964,0.16300564,31,-0.38752759,1.3696563,,,,,,,,,,,,,,,,,,COSMOS,True
3835980569326821504,150.7334029669141,1.5728082644081178,14.790826,0.993550881774844,0.02934161,31,-0.11803758,1.1988523,,,,,,,,,,,,,,,,,,COSMOS,True
3835985856431207680,150.99929039834964,1.7138965226766467,18.362753,3.790168746596392,0.21790235,95,2.0986087,1.4546977,,,,,,,,,,,,,,,,,,COSMOS,True
3835988158533710336,151.1481989467333,1.8083068137124725,18.82361,1.4147012569497497,0.2800353,31,2.3759027,1.4013141,,,,,,,,,,,,,,,,,,COSMOS,True
3835994308926839680,150.69345581602988,1.6919857129541325,18.643261,4.142796254870638,0.21889414,31,-0.8173244,1.5026411,,,,,,,,,,,,,,,,,,COSMOS,True
3836000669773723520,150.63121507294554,1.8236069205066536,8.139753,6.965820826785093,0.031344503,31,-0.20444676,1.1734049,,,,,,,,,,,,,,,,,,COSMOS,True
3836016024282168064,150.00629626998443,1.5886708217831826,17.624617,3.9825254747513608,0.12672295,31,0.24690339,1.4319179,,,,,,,,,,,,,,,,,,COSMOS,True
3836041970179223168,150.1927904040687,1.987076177021896,14.194892,0.407819972390316,0.028002523,31,0.44219363,1.2105772,,,,,,,,,,,,,,,,,,COSMOS,True
3836051762704682880,150.4023412622617,1.9306494771564124,15.8115835,4.604236905806784,0.04466084,31,-0.12056245,1.3678383,,,,,,,,,,,,,,,,,,COSMOS,True
3836056568772859264,150.62374124669242,2.001088557919607,16.939661,1.638101916127132,0.07238242,31,-1.0669591,1.2949489,,,,,,,,,,,,,,,,,,COSMOS,True
3836057500780977280,150.64584173833717,2.080879201423124,16.829786,0.420749187067796,0.078398235,31,0.96856403,1.2189792,,,,,,,,,,,,,,,,,,COSMOS,True
3836062826540421504,150.6569951400558,2.165211607671772,16.838076,5.32805189505395,0.10129869,31,0.23914072,1.4224061,,,,,,,,,,,,,,,,,,COSMOS,True
3836068083580379520,150.3780403799256,2.112593161831447,15.351541,0.420049689858059,0.044972036,31,-0.43519455,1.1939043,,,,,,,,,,,,,,,,,,COSMOS,True
3836107867862195712,150.99163250145105,2.2049710655868675,17.671745,1.6590335479325269,0.11613455,31,-0.19578744,1.3533034,,,,,,,,,,,,,,,,,,COSMOS,True
3836121336879522944,151.4464470536502,2.1774947430147784,15.699517,1.101305167086629,0.046929598,31,0.25963718,1.2181202,,,,,,,,,,,,,,,,,,COSMOS,True
3836125120746209024,151.4776985088729,2.3454039708284675,16.455528,0.7296618305853941,0.05794084,31,-0.96419585,1.2236549,,,,,,,,,,,,,,,,,,COSMOS,True
3836130407851191040,151.60112465961342,2.3496652143027226,12.921133,1.8408744715704868,0.0206984,31,3.199546,1.197387,,,,,,,,,,,,,,,,,,COSMOS,True
3836143159608812416,151.35095642716934,2.512927372699789,11.619807,3.223935578690826,0.020426404,31,-4.1553035,1.1963508,,,,,,,,,,,,,,,,,,COSMOS,True
3836148932044856192,151.41157925735956,2.5267796698881853,15.445493,0.8799853216596477,0.046328075,31,-0.19214572,1.2074941,,,,,,,,,,,,,,,,,,COSMOS,True
3836151607809827200,151.50981739496814,2.6340659130915394,18.03861,1.2529775590863448,0.1863918,31,0.12807989,1.3354212,,,,,,,,,,,,,,,,,,COSMOS,True
3836170952342236416,150.63498458389506,2.3075026186945187,18.148039,1.0582805190154774,0.18083258,95,-0.5415141,1.366417,,,,,,,,,,,,,,,,,,COSMOS,True
3836179718370420224,150.7988529012575,2.4495173830744967,16.172035,1.268250602356514,0.057491977,31,0.079931416,1.2474749,,,,,,,,,,,,,,,,,,COSMOS,True
3836182153620723712,150.8438836715956,2.5543505541695595,19.31934,2.1151934081153656,0.36620829,95,1.1445671,1.4222327,,,,,,,,,,,,,,,,,,COSMOS,True
3836186315440185344,150.8000008771493,2.6065667117521234,16.174406,1.1154012505634512,0.050922498,31,0.12224646,1.2540889,16.176538,16.175734,0.024551135,False,False,True,False,False,False,False,False,False,False,False,False,False,False,COSMOS,False
3836193015589192192,151.06227446118717,2.5483266616195386,17.104017,0.9730848182753732,0.09531296,31,-1.7955031,1.2441807,,,,,,,,,,,,,,,,,,COSMOS,True
3836197203182067456,151.3102542060402,2.5976766411068484,18.004513,2.0362557131892443,0.1666428,31,-0.034217935,1.3649637,,,,,,,,,,,,,,,,,,COSMOS,True
3836200196774496640,151.4073711824155,2.7137471510263684,18.187986,2.74924960799642,0.16943306,31,-0.1902587,1.3899828,,,,,,,,,,,,,,,,,,COSMOS,True
3836201330645867776,151.2873717918907,2.687691329845648,15.413185,1.2594169893810896,0.04070212,31,-0.46861926,1.2254407,,,,,,,,,,,,,,,,,,COSMOS,True
3836210156803793152,150.9180061014422,2.6878399167940583,16.544563,0.6822331064126708,0.06293333,31,-0.9398301,1.198788,,,,,,,,,,,,,,,,,,COSMOS,True
3836218579234504320,151.07654488937268,2.825149919680895,15.040135,1.052623485843136,0.035195388,31,1.8827238,1.2127094,,,,,,,,,,,,,,,,,,COSMOS,True
3836218884177246720,151.1066669500014,2.81897150684335,14.283099,1.5006208397931098,0.025386732,31,-0.6894051,1.2043866,,,,,,,,,,,,,,,,,,COSMOS,True
3836226207096457856,149.8292239892965,1.960519714411577,15.618327,0.6768608244656804,0.05731602,31,4.981899,1.2133077,,,,,,,,,,,,,,,,,,COSMOS,True
3836232696791990784,149.87002020756017,2.016427630855041,17.647276,1.3076711802606888,0.13854167,31,1.1347803,1.3686156,,,,,,,,,,,,,,,,,,COSMOS,True
3836235484225806080,150.00486752083518,2.1312076979327115,17.485037,1.3334541448961947,0.1118065,31,1.174457,1.3071476,,,,,,,,,,,,,,,,,,COSMOS,True
3836243004713461120,149.72417640710174,2.08832284671604,14.312064,0.8440903855663201,0.025343738,31,3.8785298,1.2761513,,,,,,,,,,,,,,,,,,COSMOS,True
3836261597626954880,150.20975679156396,2.264517658639036,16.060156,11.185354221841587,0.055432398,31,-0.5737326,1.498594,,,,,,,,,,,,,,,,,,COSMOS,True
3836267232624041088,150.35868762864288,2.317278968077905,15.745237,0.5844728452976468,0.04424592,31,-0.039436493,1.1990765,,,,,,,,,,,,,,,,,,COSMOS,True
3836280976519357952,149.83918953164076,2.398044300923422,16.50899,1.1535388390971684,0.07404861,31,-0.76910317,1.2420837,,,,,,,,,,,,,,,,,,COSMOS,True
3836285438990021376,150.06021615811724,2.4645841212927335,16.256454,0.658691942815191,0.075078726,31,-0.019013312,1.2078099,,,,,,,,,,,,,,,,,,COSMOS,True
3836286091825057664,150.12195165396838,2.5096871723914616,15.571036,0.5269785967485132,0.058824014,31,1.1354052,1.1927742,,,,,,,,,,,,,,,,,,COSMOS,True
3836287741092503808,150.16966672759526,2.546352937108913,15.116473,1.2618695981850443,0.039646067,31,0.4320447,1.2158959,,,,,,,,,,,,,,,,,,COSMOS,True
3836291142708852736,150.11523642319906,2.599431064508165,19.497162,2.446191415010086,0.46334088,95,2.0712247,1.5843982,,,,,,,,,,,,,,,,,,COSMOS,True
3836301695441608576,149.58325596344986,2.262424582712337,15.8566,0.3343237822195475,0.058598354,31,-0.29310673,1.1903265,,,,,,,,,,,,,,,,,,COSMOS,True
3836302313916893824,149.652394180797,2.3089386014300453,16.186209,1.4451327713456832,0.06365706,31,0.27724725,1.2555969,,,,,,,,,,,,,,,,,,COSMOS,True
3836304684738836224,149.7157326253148,2.389976548122004,14.818347,1.6500771742885858,0.042057887,31,1.0639975,1.21925,,,,,,,,,,,,,,,,,,COSMOS,True
3836305298919318016,149.61218202041638,2.401015513544558,17.926853,2.138979959165193,0.15773797,31,-0.6943055,1.3962123,,,,,,,,,,,,,,,,,,COSMOS,True
3836307429222705280,149.45025632881158,2.3844529089125555,19.042969,2.2656897385165604,0.33092192,95,1.4340956,1.4004616,,,,,,,,,,,,,,,,,,COSMOS,True
